CAT_MED;CAT_SERV;QUANT;
AT_LIGA_0001_2;AT_MNIP_0027_W;1.000;
AT_LIGA_0001_2;AT_MTFL_0004_W;1.000;
AT_LIGA_0001_2;AT_MVAL_0027_W;1.000;
AT_LIGA_0001_2;AT_SLIG_0001_W;1.000;
AT_LIGA_0002_2;AT_MCOT_0013_W;1.000;
AT_LIGA_0002_2;AT_MNIP_0027_W;1.000;
AT_LIGA_0002_2;AT_MTFL_0004_W;1.000;
AT_LIGA_0002_2;AT_MVAL_0027_W;1.000;
AT_LIGA_0002_2;AT_SLIG_0002_W;1.000;
AT_LIGA_0003_2;AT_SLIG_0003_W;1.000;
AT_LIGA_0004_2;AT_MCOT_0013_W;1.000;
AT_LIGA_0004_2;AT_MNIP_0027_W;1.000;
AT_LIGA_0004_2;AT_MTFL_0004_W;1.000;
AT_LIGA_0004_2;AT_MVAL_0027_W;1.000;
AT_LIGA_0004_2;AT_SLIG_0004_W;1.000;
AT_LIGA_0005_2;AT_MCOT_0013_W;1.000;
AT_LIGA_0005_2;AT_MNIP_0027_W;1.000;
AT_LIGA_0005_2;AT_MTFL_0004_W;1.000;
AT_LIGA_0005_2;AT_MVAL_0027_W;1.000;
AT_LIGA_0005_2;AT_SLIG_0005_W;1.000;
AT_LIGA_0007_2;AT_MCOT_0013_W;1.000;
AT_LIGA_0007_2;AT_MNIP_0027_W;1.000;
AT_LIGA_0007_2;AT_MTFL_0004_W;1.000;
AT_LIGA_0007_2;AT_MVAL_0027_W;1.000;
AT_LIGA_0007_2;AT_SLIG_0007_W;1.000;
AT_LIGA_0008_2;AT_SLIG_0008_W;1.000;
AT_LIGA_0009_2;AT_MBUC_0023_W;1.000;
AT_LIGA_0009_2;AT_MCOT_0013_W;1.000;
AT_LIGA_0009_2;AT_MNIP_0027_W;1.000;
AT_LIGA_0009_2;AT_MTFL_0004_W;1.000;
AT_LIGA_0009_2;AT_MVAL_0027_W;1.000;
AT_LIGA_0009_2;AT_SLIG_0009_W;1.000;
AT_LIGA_0010_2;AT_MBUC_0002_W;1.000;
AT_LIGA_0010_2;AT_MCOT_0015_W;1.000;
AT_LIGA_0010_2;AT_MNIP_0028_W;1.000;
AT_LIGA_0010_2;AT_MNIP_0029_W;1.000;
AT_LIGA_0010_2;AT_MTFL_0003_W;1.000;
AT_LIGA_0010_2;AT_MVAL_0019_W;1.000;
AT_LIGA_0010_2;AT_SLIG_0010_W;1.000;
AT_LIGA_0011_2;AT_MCOT_0013_W;1.000;
AT_LIGA_0011_2;AT_MNIP_0027_W;1.000;
AT_LIGA_0011_2;AT_MTFL_0004_W;1.000;
AT_LIGA_0011_2;AT_MVAL_0027_W;1.000;
AT_LIGA_0011_2;AT_SLIG_0011_W;1.000;
AT_LIGA_0012_2;AT_MCOT_0013_W;1.000;
AT_LIGA_0012_2;AT_MNIP_0027_W;1.000;
AT_LIGA_0012_2;AT_MTFL_0004_W;1.000;
AT_LIGA_0012_2;AT_MVAL_0027_W;1.000;
AT_LIGA_0012_2;AT_SLIG_0012_W;1.000;
AT_LIGA_0013_2;AT_MCOT_0013_W;1.000;
AT_LIGA_0013_2;AT_MNIP_0027_W;1.000;
AT_LIGA_0013_2;AT_MTFL_0004_W;1.000;
AT_LIGA_0013_2;AT_MVAL_0027_W;1.000;
AT_LIGA_0013_2;AT_SLIG_0013_W;1.000;
AT_LIGA_0014_2;AT_MCOT_0013_W;1.000;
AT_LIGA_0014_2;AT_MNIP_0027_W;1.000;
AT_LIGA_0014_2;AT_MTFL_0004_W;1.000;
AT_LIGA_0014_2;AT_MVAL_0027_W;1.000;
AT_LIGA_0014_2;AT_SLIG_0014_W;1.000;
AT_LIGA_0015_2;AT_MCOT_0013_W;1.000;
